,img_path,label,height_brick,height_plate,height_other,shape_corner,shape_round,shape_square,short_1,short_2,short_4,short_6,short_8,long_1,long_2,long_3,long_4,long_6,long_8,long_10,long_12,row_col_ratio,row_col_PCA_0,row_col_PCA_1,row_col_PCA_2,row_col_PCA_3,row_col_PCA_4,row_col_PCA_5,row_col_PCA_6,row_col_PCA_7,row_col_PCA_8,row_col_PCA_9,row_col_PCA_10,row_col_PCA_11,row_col_PCA_12,row_col_PCA_13,row_col_PCA_14,row_col_PCA_15,row_col_PCA_16,row_col_PCA_17,row_col_PCA_18,row_col_PCA_19,row_col_PCA_20,row_col_PCA_21,row_col_PCA_22,row_col_PCA_23,row_col_PCA_24,row_col_PCA_25,row_col_PCA_26,row_col_PCA_27,row_col_PCA_28,row_col_PCA_29,row_col_PCA_30,row_col_PCA_31,row_col_PCA_32,row_col_PCA_33,row_col_PCA_34,row_col_PCA_35,row_col_PCA_36,row_col_PCA_37,row_col_PCA_38,row_col_PCA_39,row_col_PCA_40,row_col_PCA_41,row_col_PCA_42,row_col_PCA_43,row_col_PCA_44,row_col_PCA_45,row_col_PCA_46,row_col_PCA_47,row_col_PCA_48,row_col_PCA_49
0,/home/sean/Desktop/lego_images_bounding_labeled/brick_corner_1x2x2/37. 2357_24_lg.png,brick_corner_1x2x2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.6814345991561181,-0.8255221773114539,0.41258255149745465,-1.0412846551308597,0.3558867834853886,1.7351441641246061,-3.4111537521786124,-0.2942892344142322,-0.19165091561758563,-2.9480348384369353,-2.686951342793963,-2.2087640840245237,-1.9340167107422213,-0.5764405921193028,-0.25893754258684565,-1.093036307391947,-0.3892314863068334,0.01613896106400841,1.7423570676143685,0.4945729970304549,-1.116672966403148,2.160413230778803,0.8610541833764459,0.6757554447491079,0.7831351076518446,-0.3874283274052188,-0.6653752248096005,1.0308252367735424,-0.20736694186834104,0.6400248214829515,1.9083164957983605,-1.036156348110883,-1.8667949408972566,1.1019235986565525,-1.0558174009732437,0.23599273816822883,0.5587238135360588,1.124395022444648,1.1229671699261963,1.2582630910361163,-1.5539369955781037,-0.5928467233145248,-1.3993902114274732,0.19436998347573567,0.3141345924487052,0.6215945548444922,-0.38699392195493704,-0.0834219839496608,0.10575697687938894,0.455729661731383,-0.34130062920207155
1,/home/sean/Desktop/lego_images_bounding_labeled/brick_corner_1x2x2/81. 2357_151_lg.png,brick_corner_1x2x2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.671578947368421,-0.8331460344042737,0.27580651169896864,-1.0505082448850196,0.7505517435533179,1.6260710232930269,-3.6906822613632633,-0.6405129743369617,-0.21326070052205928,-3.341218515882361,-3.289432043501579,-2.733087487199988,-2.770731227838343,-0.6251012945530117,-0.3341254842965008,-1.2767547605926188,-0.43543164613177704,-0.09701454802857995,1.7988416019131328,0.6752271788620257,-1.480794641025053,3.1671886635422775,1.1441544685708314,1.173643754595848,1.1042892274848055,-0.5995238412007028,-0.9228354826885384,1.171658719059889,-0.5142324544100679,0.7725056474606321,3.2235911362262417,-1.6706533070979612,-3.2713210393104064,2.3460815597117377,-1.5093452183923388,0.18194972254704156,0.23479053998363228,1.131653045500394,2.9487960278647463,2.6245577501128836,-3.919374522487099,0.2741656443013007,-3.2369801331316777,-1.8241773893281061,1.4479678226121329,0.5561637529465997,-0.9775604063499835,-1.323073330434448,0.2132589971154969,0.693625584671191,-0.2754315074538803
2,/home/sean/Desktop/lego_images_bounding_labeled/brick_corner_1x2x2/3. 235726.jpg,brick_corner_1x2x2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.791828793774319,-1.1248368068083907,-0.018366090461559237,-0.3547455290673102,0.8255731176693911,-0.391552432926218,0.4943820931495635,-0.10064724883885949,0.6062292322360522,0.40384005497837455,-0.23367284393303414,-0.7723912374816799,0.43883422965359525,1.0053722536400418,-1.0863922657825928,1.098660579757088,-0.5353838091575899,-0.3379325809312004,-0.026383701425046823,0.10137930118302492,-0.1290736901734885,0.6444825875823866,-0.21544640605435508,-0.5036800118710336,0.9696859334476687,-0.18341722979733513,0.46637533768390643,0.2793987967657831,0.10858352144370462,0.028719069938059914,-0.23150049125230066,0.8518553837129553,-0.7404106203304351,2.8764009081745963,0.24918505743515024,-0.5435868625966584,-0.5433192626833606,1.2494725600495633,0.39465859614056675,-0.5752217073516572,1.5489356915117662,-0.5765839256648041,-1.0169527048848575,0.2883260761115158,-2.1701223282627415,0.45551255817438907,1.8181202699052657,-0.17711855663497894,0.17080746607148206,1.5852776743554875,-0.9908998464363364
3,/home/sean/Desktop/lego_images_bounding_labeled/brick_corner_1x2x2/4. 6000880.jpg,brick_corner_1x2x2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.7762645914396887,-0.8103733219449207,-0.18789422697776845,-0.5915723441531878,0.7642703652062978,-0.9002640384427799,0.8395935114935551,-0.24257408585271822,0.8045503438358271,-0.0048562253247172015,-0.29122549112219837,-0.6290011365095537,0.21512889553204653,0.7317824453888448,-0.969534817312734,0.46210083202256874,-0.07768542892565315,-0.1274214970279387,-0.28426949835991755,0.26851352074182205,-0.07970990775949845,0.4563132080624544,-0.09933193866402382,-0.20168895915729107,0.821244870495428,-0.08039615305367254,0.16004231679610664,0.42211921729887697,0.2717114215305636,-0.10917834923942647,-0.10046794768295582,0.38381169184265246,-0.7839068263963491,2.5542141347654583,0.4661603988067948,-0.47469687787543074,-0.770985580038725,0.9162907531673002,0.10895235820685123,-0.17531293450197516,1.1404148206345115,-0.7303871827329299,-1.0653671241385112,0.11293684716245478,-1.818311518040744,0.27053852434192255,1.5521717149078331,0.021712740247939403,-0.07298703525571172,0.8432691182372863,-0.4518887024371895
4,/home/sean/Desktop/lego_images_bounding_labeled/brick_corner_1x2x2/57. mexytvo4v-zwj6iut9nlt0g.jpg,brick_corner_1x2x2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.9392156862745098,-1.242680077966875,1.60120602786661,2.0326631739194054,-1.3361542498285641,0.21120748809742673,1.7262940851745543,-1.2459539206428507,-2.687081106006748,-2.716430357724318,-0.2686894688099356,1.3963011805693615,0.14339099095605387,-0.36109355377596886,0.8677974516182596,-0.5364098629812185,0.37212582423214063,-0.6871521232900087,0.17104870665152733,-1.611390076397484,1.738264105042422,-0.6341902560434075,-0.8205908817128129,0.5625429531439876,-0.32275617705118226,1.5878204055402276,-1.0251707466512046,2.3757038563723034,-0.9411098956249238,1.3225256289676048,0.22427779710707882,-1.413546885463397,-0.47426649032649587,0.5789962607923707,1.0002251626350251,0.3734171607044685,-0.3254835113113272,0.7882672885713307,-0.8876039980084226,1.0950936307849768,1.4305800978459626,-0.38230913210604295,1.0688870984285659,-1.555546708525046,0.4494199970401568,0.12378652689655686,0.25455850267310753,-1.8252417214125183,-0.1886270963611371,-1.10604971404911,-0.5757642818308912
5,/home/sean/Desktop/lego_images_bounding_labeled/brick_corner_1x2x2/72. 99089175.jpg,brick_corner_1x2x2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.9103139013452914,-0.043470669326075635,0.36452342166961793,1.4620881620978812,-0.900140155893714,0.0038511732690459832,0.4833029225758126,0.3670579549823512,-1.4171302197197595,-1.0969290229652533,0.06568944928108458,0.0885203771429438,0.6414691177897663,0.8116736773094013,-0.2268910004143513,1.069240934153589,0.5690170858088062,-1.5647343986601554,0.022698439982591332,-1.012163499667509,0.8368670379141991,-0.3768429640182405,-0.7775463624045134,0.14882868097605734,-0.28873772399299424,0.7617506227552173,-0.3564087057748657,1.009609152557481,0.024335616998704873,-0.16608974631331538,-0.5121338486735935,0.5082997343439741,-0.19851371731419448,-0.5544664798536285,-0.14520557718531266,-0.6361885603856461,-0.08550435099282813,0.6717261410577402,0.7001085090019792,0.8400374791351201,-0.5585143834786825,0.5521877343528395,0.3282701903864199,0.262570124280156,0.41139194966784653,0.6491960942014127,0.1441201544191321,-0.8767060025452154,0.36873214202949894,0.42612841651013145,-0.5329197838931208
6,/home/sean/Desktop/lego_images_bounding_labeled/brick_corner_1x2x2/74. lego_brick_2_x_2_corner__2357__lego-dark-stone-gray-brick-2-x-2-corner-2357-30-682375-50.jpg,brick_corner_1x2x2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.8385214007782101,-1.2237286002876162,-0.023956773380188104,-0.05179294285249221,0.40927279650476667,-0.1788731370734253,-0.24644773447909968,0.19733735305206812,0.1646085959267403,0.6588466165387237,-0.21918763829966398,-0.8608613002273582,0.4655245510924746,0.4394469351365934,-1.13545864466788,0.6437502649672292,-0.2618566040169383,0.3088384966067017,0.35791018581554845,-0.2045728580153814,-0.4902667905624134,0.6163629336013459,-0.13074216127991803,-0.6609408616704421,0.07024420778233072,0.06969694778706274,-0.040096579365281375,-0.7422927357571422,-0.31929222404189306,-0.035241702947365984,0.025805174242819435,-0.119749150902946,0.009764579509089669,-0.004872638060085703,-0.5140748977144383,0.533472531633995,0.5660596621650025,0.2326419452207798,-0.3577549717296645,-0.7757193015972813,0.7162678359159603,-0.44449779556958474,-0.8890546558386246,0.43801286856830307,0.3385032090486604,0.028412738053953106,0.20897424124062705,0.10312954998387613,0.17695879419712854,0.11702238888425544,-0.4151166464952527
7,/home/sean/Desktop/lego_images_bounding_labeled/plate_2x6/1. lego-green-plate-2-x-6-3795-30-735504-61.jpg,plate_2x6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.6902834008097166,0.32133497140071976,-0.49373085148346385,-0.3707250954935884,0.11335772552782575,0.45071830980938843,-0.3547494503291003,-0.07561060112504386,0.011861363529084191,-0.19052147168156564,-0.05884126482608074,0.11826982446936503,-0.22931098685335483,-0.12113016088842385,0.46836341411375293,-0.012511358749792851,-0.020439795730921785,0.015763775878312545,-0.411169424505276,-0.06099020136671886,0.06873018012628881,-0.5967670813484875,-0.15272342988505794,0.055690979488917894,0.06729228197396687,-0.3353990295672186,0.16492302303021092,0.13809083010282278,-0.1970789495466178,0.14613326405947547,-0.10031080258645306,-0.0830691733151749,-0.2773250337442517,-0.6703925591214785,0.10592389364831661,0.29806059478260183,-0.24429536230034346,-0.21317109878570317,-0.4257957063697789,-0.5683963351432134,0.05929266748310065,-0.20407885111654875,0.03440381041881733,0.013513143222310951,0.07294903177845438,-0.18770607987546906,0.43708459439419206,-0.3404022021860703,-0.6536341001096194,0.6139019892877182,-0.4642151755159816
8,/home/sean/Desktop/lego_images_bounding_labeled/plate_2x6/3. 379501.jpg,plate_2x6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.7217573221757322,0.08052258969173812,-0.9507402747584979,-0.07967027973033233,0.07607974180819009,0.7290027265277217,-0.4056196450677578,0.3516686810890543,-0.42953461029437195,-0.20883365556730782,-0.206643174883767,-0.41067806301212684,0.2246299242246906,-0.05932468162878501,0.04616726796845215,0.5759816216827575,-0.08298698144460295,0.2598099546425725,-0.23594917394051096,-0.35277661942951016,-0.08486656080210028,0.32564055522302676,-0.20917745740230967,-0.45732062608519886,-0.29554216272932476,0.4798736745019333,0.4896763666007003,-0.2859296447743328,-0.4758215761366404,-0.45890162469801954,-0.8865944782270179,-0.1571707741267118,-0.01639991722490524,0.09173844613710884,-0.13655575962282496,-0.7899531190382126,-1.1632339470180182,0.2707506607345622,-0.08882657143303142,-0.5060748040905305,0.6127991218499151,0.2937033964977564,0.3399415973957043,0.636264797421417,-0.18974935675274945,0.09153381061876631,-0.12081192367301047,-0.0782012670741176,0.20051562097487924,0.63143675137583,-1.072286196817266
9,/home/sean/Desktop/lego_images_bounding_labeled/plate_2x6/44. d4e4o5g414l436v5o2x5o2q274o2w223c41324m4v5e4r2b4x2u2x333t2w2.jpg,plate_2x6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.943359375,-0.6326807229896931,0.4232527318020642,0.6998432827765045,-0.005140149745718089,0.2682248534273283,-0.4322483892262471,-0.12697536725694017,0.5887085378937436,0.4239810881432039,-0.2089645833948858,-0.5410664216595824,-0.5560964048986115,0.7948508960966135,-0.23306475959049253,0.279054168832171,0.1822116889604811,0.29012215826441046,-0.31280478829693603,-0.09238067895228791,0.9451146455508361,-0.16958934018760022,-0.8892194545285741,0.004510867583093423,-0.21971476467055062,0.833010594932156,-0.015177136578437424,0.3523069077581326,-0.7839958989703483,0.9415940736973356,-0.2812228392276142,0.3739070024371821,0.3480714265654993,-0.7290944683200297,0.3121022300269222,-0.8036846236659451,-0.33058110574733596,0.14704254294827634,-0.9464790506260015,-0.8220347937055301,0.20259778602075434,0.5101741738307892,0.0018028901798137955,-1.0642863444679966,-0.1463158451355217,1.5664554391520915,1.4219023796141468,-1.5561711062723573,0.11789851686584105,0.0896609412312496,-0.04827938121225048
